idelem,intensidad,ocupacion,carga
6585,72,81,82
6586,0,0,0
6587,0,0,0
6588,0,0,0
6589,0,0,0
6590,72,14,18
10060,556,1,14
10059,98,0,3
10058,720,5,28
6595,324,2,12
3509,324,2,12
11294,180,3,15
6597,288,1,10
6598,55,1,3
3794,108,1,5
6599,324,2,9
3795,216,10,14
10529,576,4,22
10566,295,1,10
10563,196,0,11
10562,655,2,16
10564,393,1,13
10062,164,0,5
10061,2127,16,51
10090,36,0,1
10088,180,0,6
10091,72,0,2
10086,180,1,7
10181,72,0,2
6594,288,2,11
10693,36,1,3
10694,0,0,0
10854,0,0,0
10855,108,3,10
10856,0,0,0
10857,72,1,6
10359,164,28,35
10565,229,5,19
10567,164,12,21
3700,0,0,0
6600,72,16,20
10361,0,0,0
10360,0,0,0
5149,254,3,17
10989,65,18,22
3770,42,1,3
5151,1178,6,30
5152,196,5,17
3771,753,3,20
5153,556,3,21
5154,524,3,14
5155,884,39,51
5156,818,4,21
10389,1211,10,40
10390,164,1,12
10395,2861,5,53
10394,90,0,6
10397,1900,3,28
10398,197,4,9
5169,0,0,0
5170,85,1,7
5171,42,1,4
11076,169,5,16
11077,381,12,34
11070,196,4,17
11071,98,2,8
5178,982,7,37
5180,131,5,13
9833,131,16,23
6834,0,0,0
10418,196,33,42
10392,1015,12,62
5150,212,7,16
5173,6,5,5
5160,108,0,7
10391,196,5,17
10393,0,0,0
10511,206,4,16
10805,466,3,18
10804,466,6,35
10806,85,0,6
5185,160,1,6
5186,400,1,10
5188,560,6,24
5189,257,4,20
5191,206,1,15
5192,635,15,51
5193,42,0,3
5194,339,5,26
5195,381,2,14
5196,720,12,33
5197,381,8,31
5198,254,1,6
7008,381,4,28
10283,169,2,13
5182,154,9,14
5187,0,0,0
5190,15,0,1
5236,440,3,17
5237,377,6,17
5238,1840,9,46
5239,640,4,24
10593,96,0,3
10592,48,0,2
10594,192,0,6
5240,324,2,23
5241,576,27,41
5242,684,33,64
5243,180,0,6
5244,762,10,33
5248,1038,11,42
5249,1059,8,32
3688,42,0,1
5250,551,18,33
5251,169,1,6
5252,466,31,52
5253,678,42,55
5254,135,0,5
5256,405,2,15
5257,405,2,15
5258,270,0,6
5259,405,2,15
5260,360,0,8
5261,855,1,20
5262,270,0,9
5263,300,2,11
5264,38,0,1
5265,0,0,0
10598,127,2,8
10600,296,4,23
10599,0,0,0
5269,540,5,39
5270,300,14,22
5271,990,25,75
10597,0,0,0
10596,48,0,3
10589,80,2,7
10587,40,2,5
10585,45,1,4
10586,120,2,10
10588,40,1,4
9941,192,0,6
9940,336,2,13
9942,440,2,16
9901,320,0,11
10590,0,0,0
10595,36,0,2
10654,45,6,9
10655,1080,5,39
10652,0,0,0
10653,180,1,6
10657,315,3,23
10656,180,1,13
10946,847,4,24
10947,296,0,20
10945,635,1,22
5305,468,2,17
5273,900,12,65
5274,300,18,34
9849,120,7,15
9848,80,20,25
9850,0,0,0
9851,135,51,56
9852,0,5,5
9853,90,19,24
5297,30,15,16
9978,114,59,62
5298,189,9,21
5299,341,37,52
5268,0,0,0
5272,296,1,21
11210,0,0,0
11211,80,26,30
5275,468,5,35
4792,36,21,23
5277,504,8,39
4793,288,0,5
5279,864,14,39
5280,479,10,24
5281,864,6,33
5282,792,7,32
5283,144,4,13
5284,216,98,40
5285,396,6,18
5286,396,2,15
5287,540,3,20
5288,455,5,19
5289,576,3,21
5290,455,3,18
5291,493,4,20
11029,540,3,20
5293,361,3,15
5294,189,14,25
5295,606,16,50
5296,0,0,0
5300,265,6,23
5301,341,11,31
5302,360,7,29
5303,94,2,5
4790,288,1,7
10929,40,1,4
4791,36,1,3
11028,1656,11,60
4779,504,3,19
4787,360,1,9
4789,216,2,9
3830,336,3,14
4786,72,0,2
4784,504,4,20
4795,227,1,8
4796,303,7,26
4797,38,1,4
3556,76,0,5
4798,76,0,3
4783,758,2,19
10261,540,4,16
4799,648,3,17
4788,612,4,17
10272,72,0,5
10963,648,13,32
10964,252,2,10
10952,720,48,60
10951,108,2,9
10948,136,5,14
10950,36,1,3
10949,324,2,13
10955,72,0,5
10954,540,48,67
10953,144,9,18
10956,216,24,35
10957,252,8,23
10680,283,11,28
5292,36,75,76
10262,72,35,38
4785,0,0,0
5304,360,2,14
5306,504,3,20
5307,324,6,26
5308,288,2,12
5309,36,0,2
5310,468,3,19
5311,360,4,29
5312,648,3,25
5313,324,10,39
5314,612,2,23
5315,324,3,21
10793,180,0,18
10794,60,0,6
5319,576,3,23
5320,144,3,12
5321,396,1,15
5322,108,4,6
5317,648,3,25
5323,180,5,10
5324,396,2,15
5325,612,2,23
5326,180,4,18
5327,242,9,24
3749,216,3,19
5328,252,0,13
5329,180,5,17
3750,144,4,13
5330,252,4,20
5331,0,99,99
5332,108,2,9
5333,108,0,5
5334,252,4,16
5335,164,5,13
3636,884,3,17
5157,785,5,22
5158,131,1,5
5159,393,5,30
10619,72,1,7
10795,60,0,6
10796,120,0,12
5316,108,14,21
5318,0,0,0
5336,405,16,27
5337,270,2,10
5338,90,10,15
5339,225,4,18
5340,103,1,4
5341,51,1,2
5342,154,2,7
5343,411,2,15
5344,206,2,8
5345,678,4,25
5346,85,0,3
5347,1991,26,75
10902,76,53,55
5349,227,5,19
5348,644,8,48
10900,531,21,49
10901,397,6,31
10996,103,3,10
5350,341,3,14
5352,520,2,19
5355,440,6,34
7107,440,1,16
9935,85,1,4
9936,169,4,15
9944,254,1,9
9943,212,3,9
9986,606,63,78
9989,303,2,22
10422,38,63,64
10290,225,3,18
9939,339,79,81
5354,207,34,39
5351,400,6,31
7108,40,26,28
5356,114,55,58
9988,303,3,23
9987,38,1,4
9990,114,18,24
10868,80,32,36
5385,0,0,0
5386,45,0,2
5387,0,0,0
10932,135,0,3
3484,227,0,5
5388,45,0,1
5389,180,3,15
3590,360,1,9
10015,135,0,9
5391,270,4,21
5392,135,1,10
5393,225,1,8
5394,315,6,26
6832,180,4,16
5396,180,2,7
10931,45,0,3
5398,225,2,9
5399,200,3,9
5400,90,3,9
5401,360,1,13
5402,135,1,5
5403,90,1,7
10930,270,0,6
10014,270,3,11
10016,90,0,6
10017,315,2,12
5390,180,4,16
3483,27,0,2
5397,105,54,57
6811,0,0,0
5011,120,0,8
5010,1160,8,44
5001,840,3,30
3410,120,1,9
5002,480,0,11
5003,786,6,30
4547,280,3,21
5012,144,3,12
5004,560,1,13
5018,80,2,7
5005,578,21,36
3702,360,1,13
5035,80,46,49
5006,327,3,13
